"Chinook Salmon, Kenai River, Oct. 1998"
"total fish length mm =" 775
"fish mass g =" 00
"number of swimbladder chambers=" 1
"x,   z-upper,   z-lower,   width"
"fish body"
         775
      343.000      69.5158     -116.199      291.120
      344.000      69.5158     -116.199      290.019
      345.000      69.7172     -116.199      290.019
      346.000      70.1199     -116.199      290.019
      347.000      70.3213     -116.199      290.019
      348.000      70.3213     -116.199      290.019
      349.000      70.5226     -116.199      290.019
      350.000      70.9254     -116.199      290.019
      351.000      71.1267     -116.199      290.019
      352.000      71.1267     -116.199      290.019
      353.000      71.1267     -116.199      290.019
      354.000      71.1267     -116.199      290.019
      355.000      71.1267     -116.199      289.468
      356.000      71.3569     -116.401      288.367
      357.000      71.8171     -116.804      287.817
      358.000      72.0473     -117.005      287.817
      359.000      72.0473     -117.005      287.817
      360.000      72.0473     -117.005      287.817
      361.000      72.2486     -117.005      287.817
      362.000      72.6514     -117.005      287.817
      363.000      72.8527     -117.005      287.817
      364.000      72.8527     -117.005      287.266
      365.000      72.8527     -117.005      286.165
      366.000      72.8527     -117.005      285.615
      367.000      72.8527     -117.005      284.986
      368.000      73.0541     -117.005      283.728
      369.000      73.4568     -117.005      283.099
      370.000      73.6582     -117.005      283.099
      371.000      73.6582     -117.005      283.099
      372.000      73.8595     -117.005      283.099
      373.000      74.2623     -117.005      283.099
      374.000      74.4637     -117.005      282.469
      375.000      74.4637     -117.005      281.211
      376.000      74.4637     -117.005      280.582
      377.000      74.4637     -117.005      280.582
      378.000      74.4637     -117.005      280.032
      379.000      74.4637     -117.005      278.931
      380.000      74.6650     -117.005      278.380
      381.000      75.0677     -117.005      278.380
      382.000      75.2691     -117.005      277.830
      383.000      75.2691     -116.804      276.729
      384.000      75.4705     -116.401      276.178
      385.000      75.8732     -116.199      276.178
      386.000      76.0746     -116.199      276.178
      387.000      76.0746     -116.199      275.628
      388.000      76.0746     -115.998      274.527
      389.000      76.0746     -115.595      273.426
      390.000      76.0746     -115.394      272.325
      391.000      76.0746     -115.394      271.775
      392.000      76.0746     -115.394      271.224
      393.000      76.0746     -115.394      270.123
      394.000      76.0746     -115.193      269.573
      395.000      76.0746     -114.790      269.573
      396.000      76.0746     -114.589      269.573
      397.000      76.3047     -114.589      269.022
      398.000      76.7650     -114.387      267.371
      399.000      76.9951     -113.984      265.720
      400.000      76.9951     -113.783      265.169
      401.000      76.7650     -113.783      264.619
      402.000      76.3047     -113.783      263.518
      403.000      76.0746     -113.783      262.967
      404.000      76.0746     -113.783      262.967
      405.000      76.0746     -113.783      262.967
