"Walleye Pollock 17, Newport  OR, cl=390"
"total fish length mm =" 390
"fish mass g =" 999
"number of swimbladder chambers=" 1
"x,   z-upper,   z-lower,   width"
"fish body"
         390
      323.000      13.2477     -15.5695      14.9669
      324.000      12.9745     -15.5695      14.9669
      325.000      12.8379     -15.4329      14.7074
      326.000      12.8379     -15.1597      14.5344
      327.000      12.8379     -15.0232      14.5344
      328.000      12.7014     -15.0232      14.5344
      329.000      12.4282     -14.8866      14.5344
      330.000      12.2917     -14.6134      14.4478
      331.000      12.2917     -14.4769      14.1883
      332.000      12.2917     -14.3403      13.9288
      333.000      12.1551     -14.0671      13.8422
      334.000      11.8819     -13.9306      13.8422
      335.000      11.7454     -13.7940      13.9288
      336.000      11.7454     -13.5208      14.0153
      337.000      11.6088     -13.3843      13.8422
      338.000      11.3356     -13.2477      13.5827
      339.000      11.1991     -12.9745      13.4962
      340.000      11.1991     -12.7014      13.4962
      341.000      11.0625     -12.2917      13.5827
      342.000      10.7893     -11.8820      13.6692
      343.000      10.6528     -11.7454      13.4962
      344.000      10.5162     -11.6088      13.1501
      345.000      10.2430     -11.1991      12.8906
      346.000      10.1065     -10.7894      12.7176
      347.000      10.1065     -10.6528      12.6310
      348.000      10.1065     -10.5162      12.6310
      349.000      9.96990     -10.2431      12.4580
      350.000      9.69675     -10.1065      12.1985
      351.000      9.56018     -9.96992      12.0254
      352.000      9.56018     -9.69677      11.8524
      353.000      9.56018     -9.56020      11.8524
      354.000      9.56018     -9.42362      12.0254
      355.000      9.56018     -9.15047      12.0254
      356.000      9.56018     -9.01390      11.6794
      357.000      9.83333     -8.87733      11.3333
      358.000      10.3796     -8.46761      11.2468
      359.000      10.6528     -8.05788      11.2468
      360.000      10.6528     -7.92131      11.2468
      361.000      10.6528     -7.92131      11.2468
      362.000      10.7893     -7.92131      11.3333
      363.000      11.0625     -7.92131      11.3333
      364.000      11.1991     -7.92131      11.1603
      365.000      11.1991     -7.92131      11.1603
      366.000      11.1991     -7.92131      11.2468
      367.000      11.1991     -7.92131      11.0738
      368.000      11.1991     -7.92131      10.7277
      369.000      11.0625     -7.78474      10.4682
      370.000      10.7893     -7.37501      10.3817
      371.000      10.6528     -6.96529      10.3817
      372.000      10.5162     -6.82871      10.2952
      373.000      10.2430     -6.69214      9.94911
      374.000      9.96990     -6.28242      9.51654
      375.000      9.69675     -5.87270      9.34351
      376.000      9.42360     -5.59955      9.17048
      377.000      9.15045     -5.18983      8.65140
      378.000      9.01387     -4.78011      8.21883
      379.000      8.87730     -4.50696      8.04580
      380.000      8.60415     -4.09724      7.61323
      381.000      8.33100     -3.55094      7.09415
      382.000      7.92128     -3.00464      6.74809
      383.000      7.51156     -2.45834      6.22901
      384.000      7.23841     -1.91205      5.70992
      385.000      6.96526     -1.50233      5.45038
      386.000      6.69211     -1.09261      5.19084
      387.000      6.28239    -0.409735      4.67176
      388.000      5.73610     0.409709      3.89313
      389.000      4.84837      1.57059      2.50890
      390.000      3.27778      3.27778     0.000000
"swimbladder chamber 1"
         127
      103.000      3.65306      3.65306     0.000000
      104.000      5.68300    0.0209885      9.73537
      105.000      6.84895     -2.46191      14.7152
      106.000      7.31030     -3.92983      17.0033
      107.000      7.77165     -5.10418      19.5156
      108.000      8.19106     -6.27852      22.3869
      109.000      8.31688     -7.15928      24.4506
      110.000      8.48464     -7.74645      26.0208
      111.000      8.94599     -8.45944      27.9499
      112.000      9.36540     -9.17243      29.6547
      113.000      9.65898     -9.75960      31.1801
      114.000      9.99451     -10.3468      32.6157
      115.000      10.1623     -10.9339      33.3784
      116.000      10.1623     -11.3534      33.5579
      117.000      10.3300     -11.6469      33.5130
      118.000      10.6656     -11.9825      33.6027
      119.000      10.8333     -12.2761      34.0514
      120.000      10.8333     -12.5277      34.5000
      121.000      10.8333     -12.6535      34.3205
      122.000      10.8333     -12.6535      33.7373
      123.000      10.8333     -12.6535      33.3335
      124.000      10.6656     -12.6535      33.0644
      125.000      10.3300     -12.6535      32.7952
      126.000      10.1623     -12.6535      32.5260
      127.000      10.0364     -12.6535      31.9876
      128.000      9.78480     -12.6535      31.1352
      129.000      9.65898     -12.6535      30.3726
      130.000      9.49122     -12.6535      29.9239
      131.000      9.15569     -12.6535      29.7893
      132.000      8.86211     -12.6535      29.7893
      133.000      8.61046     -12.6535      29.7893
      134.000      8.35882     -12.6535      29.5202
      135.000      8.10717     -12.6535      28.6677
      136.000      7.98135     -12.6535      27.7705
      137.000      7.98135     -12.4858      27.4564
      138.000      7.98135     -12.1502      27.4564
      139.000      7.98135     -11.9825      27.0527
      140.000      7.81359     -11.9825      26.2451
      141.000      7.47806     -11.9825      25.7068
      142.000      7.31030     -11.8566      25.2581
      143.000      7.31030     -11.6050      24.6300
      144.000      7.31030     -11.4372      24.3160
      145.000      7.18448     -11.2275      24.0468
      146.000      6.93283     -10.9339      23.3739
      147.000      6.80701     -10.6404      22.8355
      148.000      6.80701     -10.3048      22.5215
      149.000      6.80701     -10.1371      22.2971
      150.000      6.63925     -10.1371      22.4317
      151.000      6.30372     -10.1371      22.4766
      152.000      6.17790     -10.0112      21.8934
      153.000      6.26178     -9.75960      21.3101
      154.000      6.30372     -9.63378      21.1755
      155.000      6.13596     -9.63378      21.1755
      156.000      5.80043     -9.63378      21.0410
      157.000      5.63267     -9.63378      20.7718
      158.000      5.50684     -9.63378      20.6372
      159.000      5.25520     -9.75960      20.6372
      160.000      4.96161     -10.0112      20.6372
      161.000      4.62609     -10.1371      20.6372
      162.000      4.45832     -10.3048      20.6372
      163.000      4.33250     -10.6404      20.6372
      164.000      4.08086     -10.7662      20.6372
      165.000      3.95504     -10.8501      20.6372
      166.000      3.78727     -11.1437      20.6372
      167.000      3.45175     -11.3114      20.7718
      168.000      3.28398     -11.4372      21.2204
      169.000      3.28398     -11.6889      21.7139
      170.000      3.15816     -11.8147      21.7588
      171.000      2.90651     -11.9825      21.3101
      172.000      2.78069     -12.3180      20.8166
      173.000      2.78069     -12.4858      20.6372
      174.000      2.65487     -12.4858      20.7718
      175.000      2.40323     -12.4858      21.0410
      176.000      2.27740     -12.4858      20.9064
      177.000      2.27740     -12.4858      20.3680
      178.000      2.27740     -12.4858      20.0988
      179.000      2.27740     -12.4858      19.9642
      180.000      2.27740     -12.4858      19.8296
      181.000      2.10964     -12.3180      19.9642
      182.000      1.77411     -11.9825      19.7848
      183.000      1.60635     -11.8147      19.2016
      184.000      1.60635     -11.8147      18.9772
      185.000      1.48053     -11.8147      19.0221
      186.000      1.22888     -11.8147      18.8875
      187.000      1.10306     -11.8147      18.7529
      188.000      1.10306     -11.8147      18.5735
      189.000     0.977238     -11.6469      18.0800
      190.000     0.725593     -11.3114      17.7659
      191.000     0.599771     -11.1437      17.6313
      192.000     0.432008     -11.1437      17.2276
      193.000    0.0964825     -11.1437      16.9584
      194.000   -0.0712802     -11.1437      17.0930
      195.000    -0.197103     -11.1437      16.9584
      196.000    -0.448748     -11.1437      16.1060
      197.000    -0.742334     -11.1437      15.4779
      198.000     -1.07786     -11.1437      15.4330
      199.000     -1.37145     -11.1437      15.1638
      200.000     -1.79085     -11.1437      14.8947
      201.000     -2.25220     -11.1437      14.6255
      202.000     -2.41996     -11.3114      14.2217
      203.000     -2.54579     -11.6050      14.2217
      204.000     -2.96520     -11.8566      14.0423
      205.000     -3.42654     -12.1502      13.1450
      206.000     -3.59431     -12.4438      11.9785
      207.000     -3.72013     -12.6955      11.0813
      208.000     -3.97177     -12.9890      10.7672
      209.000     -4.22342     -13.3246      10.4980
      210.000     -4.64283     -13.6182      9.95969
      211.000     -5.23000     -13.8698      9.69051
      212.000     -5.81717     -13.9956      9.55592
      213.000     -6.40434     -14.1634      9.15215
      214.000     -6.99151     -14.4989      8.74837
      215.000     -7.57868     -14.6667      8.34460
      216.000     -8.16585     -14.6667      7.80624
      217.000     -8.75302     -14.6667      7.53706
      218.000     -9.34020     -14.6667      7.35761
      219.000     -9.80154     -14.6667      6.72952
      220.000     -10.0951     -14.6667      6.01170
      221.000     -10.3468     -14.6667      5.74252
      222.000     -10.6404     -14.6247      5.60793
      223.000     -10.9759     -14.5409      5.47334
      224.000     -11.2695     -14.4989      5.29389
      225.000     -11.6469     -14.4989      4.66580
      226.000     -12.0244     -14.4989      3.94798
      227.000     -12.1502     -14.4989      3.27503
      228.000     -12.1502     -14.3731      2.46749
      229.000     -12.3809     -13.8908      1.48049
      230.000     -13.0729     -13.0729     0.000000
"Eric, Eric xray"
